,0
0,FSCT
1,FSF.AX
2,FSL.NS
3,FSLF
4,FSNN
5,FSRVW
6,FST-UN
7,FSTW
8,FSYS
9,FTAC
10,FTACU
11,FTACW
12,FTFC
13,FTIVU
14,FTNW
15,FTOC
16,FTOCU
17,FTR
18,FTRPR
19,FTRQ
20,FTSV
21,FUEL
22,FULTP
23,FUM.L
24,FUN
25,FUNCOM.OL
26,FUR
27,FUSE-UN
28,FVAC-UN
29,FVAC-WT
30,FVRGE
31,FWS
32,FXA
33,FXB
34,FXC
35,FXE
36,FXF
37,FXL.AX
38,FXY
39,G02.DE
40,GAID.L
41,GAINP
42,GALTU
43,GALTW
44,GARS
45,GAS
46,GAZ.L
47,GBLIZ
48,GBM.AX
49,GBNK
50,GBSN
51,GBTC
52,GCACU
53,GCAP
54,GCC
55,GCEC
56,GCI.AX
57,GCNG
58,GDI
59,GDOT
60,GDP
61,GDS.PA
62,GDV.TO
63,GDYNW
64,GEB
65,GEC
66,GEFB
67,GEH
68,GEK
69,GEN+++++++++++
70,GENESYS.NS
71,GENH
72,GENUSPAPER.NS
73,GENUSPOWER.NS
74,GER
75,GFNL
76,GFNSL
77,GFNSZ
78,GFOOD
79,GFX-UN
80,GGAC
81,GGACR
82,GGACU
83,GGACW
84,GGZ
85,GHAR
86,GHCW
87,GHDX
88,GHG.L
89,GHHC
90,GHHH
91,GHIVU
92,GHS.L
93,GHT.L
94,GHY
95,GI
96,GIB.DE
97,GICHSGFIN.NS
98,GID.AX
99,GIDYL
100,GIF.L
101,GIFI
102,GIG
103,GIG~
104,GIH.DE
105,GIK-WT
106,GIL.DE
107,GILD
108,GILD.SW
109,GIMO
110,GIX-WT
111,GJCU
112,GK
113,GKIN
114,GLADL
115,GLADP
116,GLAQU
117,GLBL
118,GLD
119,GLDC
120,GLDLF
121,GLDW
122,GLEO-WT
123,GLF
124,GLGIE
125,GLIBA
126,GLIZ.L
127,GLNS
128,GLOW
129,GLTR
130,GLTR.L
131,GMCR
132,GMEB
133,GMGID
134,GMHI
135,GMHIU
136,GMHIW
137,GMO
138,GMP.L
139,GMP.TO
140,GMPP.L
141,GMPWE
142,GMR.AX
143,GMRE
144,GMTA
145,GMV.AX
146,GMVD
147,GMWSB
148,GMZ
149,GNBC
150,GNC
151,GNCIQ
152,GNMX
153,GNOM
154,GNPK-UN
155,GNRSW
156,GNRT
157,GNVC
158,GOAC
159,GOCO.L
160,GODREJAGRO.NS
161,GOF
162,GOJO
163,GOKUL.NS
164,GOL
165,GOM
166,GOODO
167,GOODP
168,GOVXD
