,0
0,A1M.AX
1,A40.AX
2,A5G.IR
3,AA4.L
4,AAA.AS
5,AAAU
6,AABA
7,AAB.TO
8,AACG
9,AACQU
10,AACQW
11,AADV.L
12,AAEV.L
13,AAGH
14,AAIC
15,AAIC-PC
16,AAIF.L
17,AA.L
18,AAM.L
19,AANC
20,AAPCF
21,AAQ.DE
22,AAS.L
23,AATG.L
24,AAVC.L
25,AAXN
26,AB
27,ABAX
28,ABCD
29,ABCO
30,ABCW
31,ABDC
32,ABD.L
33,ABEOW
34,ABF.L
35,ABR
36,ABRN
37,ABR-PB
38,ABR-PC
39,ABTI
40,ABT.TO
41,ABVC
42,ABVN
43,AC
44,ACACU
45,ACAM
46,ACAMU
47,ACAMW
48,ACA.PA
49,ACAT
50,ACBM
51,ACEVU
52,ACEZ
53,ACF
54,ACFC
55,ACHN
56,ACIA
57,ACICU
58,ACID.L
59,ACMC
60,ACQ.AX
61,ACRGF
62,ACTA
63,ACT.DE
64,ACTTU
65,ACTTW
66,ACV
67,ACW
68,ADADD
69,ADA.L
70,ADANIGAS.NS
71,ADD.AX
72,ADGE
73,ADI.AX
74,ADIG.L
75,ADIL
76,ADILW
77,ADME.L
78,ADRO
79,ADSW
80,AD.TO
81,ADTX
82,ADV.L
83,ADX
84,ADXSW
85,AEB.AX
86,AED.BR
87,AEF
88,AEFS.L
89,AEF.TO
90,AEG
91,AEG.AX
92,AEGR
93,AEL-PB
94,AEMC.L
95,AEND.DE
96,AEP.DE
97,AEPI
98,AEPPA
99,AEP-PB
100,AEPPZ
101,AERGP
102,AERO
103,AES.DE
104,AESEW
105,AET
106,AEXL
107,AF
108,AFA
109,AFAM
110,AFB
111,AFBI
112,AFC
113,AFEM
114,AFFX
115,AFGB
116,AFGE
117,AFGH
118,AFH
119,AFI.AX
120,AFMC.L
121,AFOP
122,AFSD
123,AFSI
124,AFSS
125,AFT.AX
126,AFW
127,AGB2.DE
128,AGBA
129,AGBAR
130,AGBAU
131,AGBAW
132,AGFB.BR
133,AGFSW
134,AGL.L
135,AGM
136,AGMA
137,AGM-PE
138,AGM-PF
139,AGN
140,AGN.AS
141,AGNC
142,AGNCB
143,AGNCP
144,AGOE
145,AGRITECH.NS
146,AGRO.L
147,AGTA.PA
148,AGT.L
149,AGTX
150,AHAC
151,AHACU
152,AHCOW
153,AHGP
154,AHL
155,AHL.AX
156,AHNRE
157,AHOG.DE
