,2020,2019,2018,2017,2016,2015,2021,2014,2008,2009,2010,2011,2006,2007,2012,2013,2001,1999,2000,2004,2005,2002,2003
P_t_FCF___PSB,15.665011325931944,14.93080236067379,15.711639967699066,15.974200564035726,,,,,,,,,,,,,,,,,,,
P_t_FCF___BKI.AX,21.712873155377512,14.883907753523694,22.075641743900924,24.874122693640537,,,,,,,,,,,,,,,,,,,
P_t_FCF___MAJE.L,,14.504572308421178,5.220706143155562,15.650109137380193,18.03300014725372,,,,,,,,,,,,,,,,,,
P_t_FCF___KIQ,,14.429356187657913,55.05528431557821,-27.667738381392198,-39.04437930051708,,,,,,,,,,,,,,,,,,
P_t_FCF___REX,81.47185868737627,14.39944278178491,31.561213780084945,9.745281433853664,,,,,,,,,,,,,,,,,,,
P_t_FCF___PINE,13.202479880774966,13.922776829815895,22.048728177777782,23.485689105723203,,,,,,,,,,,,,,,,,,,
P_t_FCF___EXEL,39.68054313496084,13.787414629212522,18.53553050940974,49.06562826369854,,,,,,,,,,,,,,,,,,,
P_t_FCF___PFHO,,13.772019188548134,11.122949773712792,17.552572474779296,12.208755279246919,,,,,,,,,,,,,,,,,,
P_t_FCF___RUSI.ME,,13.463959055423373,-6.007026010782611,25.08362502766743,78.99924625770474,,,,,,,,,,,,,,,,,,
P_t_FCF___AWC.AX,31.66664953367876,13.410122567196927,7.624092761578043,18.84135139884393,,,,,,,,,,,,,,,,,,,
P_t_FCF___GANDHITUBE.NS,20.373202085729282,13.358256660297382,11.497081705050249,18.67627805954032,,,,,,,,,,,,,,,,,,,
P_t_FCF___CEE.TO,,13.324685737054866,15.357380344286096,8.148129218870357,7.9864246159535295,,,,,,,,,,,,,,,,,,
P_t_FCF___OSWALAGRO.NS,-4.7907519487847505,13.28614629110062,-4.152316562639808,0.8313777358173662,,,,,,,,,,,,,,,,,,,
P_t_FCF___SBM.AX,9.900114369158073,13.052733567030533,6.001656508631129,5.704477349399504,,,,,,,,,,,,,,,,,,,
P_t_FCF___OPNT,-22.49346720136945,12.436480420267372,-56.670826836853244,-4.913921018660263,,,,,,,,,,,,,,,,,,,
P_t_FCF___MODIRUBBER.NS,87.76718853153488,12.39979331015925,-17.416968289943572,-15.438498873296533,,,,,,,,,,,,,,,,,,,
P_t_FCF___CIX,13.779376253451533,12.395043859075756,13.500767193507047,19.37588392765914,,,,,,,,,,,,,,,,,,,
P_t_FCF___INDBANK.NS,3.954480173657458,12.063994735110233,12.86826105078425,10.732379750077758,,,,,,,,,,,,,,,,,,,
P_t_FCF___EX9.DE,34.07211433241714,11.838708104302091,15.915727579146653,42.130716061688396,,,,,,,,,,,,,,,,,,,
P_t_FCF___ZYT.L,8.778375537190081,11.812538256227755,5.860645773559921,6.324026196713502,,,,,,,,,,,,,,,,,,,
P_t_FCF___ISNS,9.688018099547511,11.799384769539078,16.043305177111712,8.887385660377356,,,,,,,,,,,,,,,,,,,
P_t_FCF___ALTRI.PA,8.275770456960679,11.508620689655173,-8.535805626598464,-5.271322202166066,,,,,,,,,,,,,,,,,,,
P_t_FCF___GANGESSECU.NS,6.316872214481032,11.468608144865234,22.106736672288623,-4.053290595819917,,,,,,,,,,,,,,,,,,,
P_t_FCF___NGI.AX,8.491070456308625,11.434055558193648,7.768163886827757,8.095134510001682,,,,,,,,,,,,,,,,,,,
P_t_FCF___SANDESH.NS,-5.550913616849617,11.382313912121464,7.455897470536582,6.443535691171433,,,,,,,,,,,,,,,,,,,
P_t_FCF___ENW.L,,11.177469438799438,3.0992272549954487,6.7429528479818925,54.209455648218345,,,,,,,,,,,,,,,,,,
P_t_FCF___AMJLAND.NS,-10.206986168971838,11.17140656810332,46.5817759399211,21.779984976776234,,,,,,,,,,,,,,,,,,,
P_t_FCF___POL.L,,11.164618518518518,-2.4009932297889294,-1.0423399031811895,-0.4727431976789775,,,,,,,,,,,,,,,,,,
P_t_FCF___ACIU,,10.73395616386988,-12.462895158481365,-23.957798459993306,-87.47067257448435,,,,,,,,,,,,,,,,,,
P_t_FCF___MPAD,-35.0950998185118,10.46679296346414,28.004923968139032,-110.8160458452722,,,,,,,,,,,,,,,,,,,
P_t_FCF___SWKH,,10.246227880880447,9.677167023336393,9.760719498406823,19.69553873275952,,,,,,,,,,,,,,,,,,
P_t_FCF___SUNTV.NS,11.016032212650751,9.960197360749493,14.490696521246463,19.750086103542234,,,,,,,,,,,,,,,,,,,
P_t_FCF___TARO,11.867578306269234,9.798909060268093,9.795211396111226,7.235920473891183,,,,,,,,,,,,,,,,,,,
P_t_FCF___PRESSMN.NS,13.405121130622792,9.395897614075293,16.722670350634825,8.288002086661669,,,,,,,,,,,,,,,,,,,
P_t_FCF___KRP,-22.859115011094126,8.860318593968007,-3.378305579085732,-5.6215780882220345,,,,,,,,,,,,,,,,,,,
P_t_FCF___URKZ.ME,2.8573625294842286,8.379618219959621,2.8437807248582394,-99.38099355441382,,,,,,,,,,,,,,,,,,,
P_t_FCF___HAPP,5.4393164497372135,8.355133581047815,4.095027365017628,5.1198999780693155,,,,,,,,,,,,,,,,,,,
P_t_FCF___HBSL.NS,-8.80937135181207,8.271625652205499,-3.2273234392037202,6.995442338492948,,,,,,,,,,,,,,,,,,,
P_t_FCF___IEHC,59.08918745176909,8.138829714688724,54.64241651869725,-77.70051640183577,,,,,,,,,,,,,,,,,,,
P_t_FCF___ARNA,-12.942700430047976,8.123436719131012,-34.465500511647505,-68.61812418545428,,,,,,,,,,,,,,,,,,,
P_t_FCF___CEY.L,,7.7522628808668435,8.934878611004118,4.740557558989515,4.646478297714982,,,,,,,,,,,,,,,,,,
P_t_FCF___PALASHSECU.NS,-6.1298716427682844,7.588432700569003,1.8495041386967157,-23.6465774904021,,,,,,,,,,,,,,,,,,,
P_t_FCF___FONR,9.369300032314252,7.4985678238080276,7.560400780007987,8.646709332818194,,,,,,,,,,,,,,,,,,,
P_t_FCF___UOS.AX,7.447934440845975,5.881644863683901,9.419390194761585,111.883320070908,,,,,,,,,,,,,,,,,,,
P_t_FCF___JCTCF,-13.090892173363635,5.562037305228028,23.96710564276157,18.21265285477681,,,,,,,,,,,,,,,,,,,
P_t_FCF___WEN.L,,5.412179994986213,15.862737692872887,-10.449751210067763,-10.178776991984913,,,,,,,,,,,,,,,,,,
P_t_FCF___ARA.AX,14.81580013726836,5.072759505569394,194.47406126126128,12.940067617791634,,,,,,,,,,,,,,,,,,,
P_t_FCF___CVG.TO,,4.789924503357339,-243.86072874493928,20.77110220268115,,,,,,,,,,,,,,,,,,,
P_t_FCF___TYHT,-3.263288878036556,4.53359211918234,1.8847429702684175,-5.452912116289233,,,,,,,,,,,,,,,,,,,
P_t_FCF___ECO.L,-2.2543340513644137,4.468751257691387,-8.03372168534474,-8.959057709989766,,,,,,,,,,,,,,,,,,,
P_t_FCF___LIV.L,,4.3864272772195685,2.9269096904194907,3.958870168483647,1.5984393757503002,,,,,,,,,,,,,,,,,,
P_t_FCF___KOGK.ME,1.772389503114365,4.293292943307732,11.071512449638467,46.622350151640475,,,,,,,,,,,,,,,,,,,
P_t_FCF___BNTC,-2.008047051114024,3.493251025991792,-1.5512199048294015,-1.8078346902654867,,,,,,,,,,,,,,,,,,,
P_t_FCF___VGAS.L,,3.286437792005537,1.1728724757611313,-3.116561207745323,2.17079940564636,,,,,,,,,,,,,,,,,,
P_t_FCF___SILINV.NS,8.93593012077253,3.0700553111455404,-2.738191278640059,-19.60141689105562,,,,,,,,,,,,,,,,,,,
P_t_FCF___ALNU.ME,,2.8297331202171314,3.4940269338379313,3.723977509183872,,,,,,,,,,,,,,,,,,,
P_t_FCF___IDFC.NS,-6.486978498498497,2.338726910677458,-10.280109315125179,-1.9447224174103648,,,,,,,,,,,,,,,,,,,
P_t_FCF___ABCP,,2.2414195323246218,-3.035179511059372,-3.1291637061929913,-4.374528859060403,,,,,,,,,,,,,,,,,,
P_t_FCF___SMARTLINK.NS,2.066462106787831,2.034709271341978,-11.739043805769596,-3.0575646084368886,,,,,,,,,,,,,,,,,,,
P_t_FCF___BSD.L,,1.7408242768767763,1.8102090668057549,40.552560856864645,7.030297096556381,,,,,,,,,,,,,,,,,,
P_t_FCF___IVC.NS,-5.388394142780689,1.6380780280025975,-25.673059922666944,4.563200408896382,,,,,,,,,,,,,,,,,,,
