,2020,2019,2018,2017,2016,2015,2021,2014,2008,2009,2010,2011,2006,2007,2012,2013,2001,1999,2000,2004,2005,2002,2003
ROC___A,0.7035040431266847,1.0648289943848903,0.5550157187767933,0.4657384657384657,,,,,,,,,,,,,,,,,,,
ROC___A1G.AX,,-0.3575649532065997,,,,,,,,,,,,,,,,,,,,,
ROC___A1G.DE,-0.6738984703516363,0.24342002315901481,0.2311146653543307,0.3818610393983612,,,,,,,,,,,,,,,,,,,
ROC___A1OS.DE,0.348154323126926,0.794277164765289,0.7735082173221544,1.1163757974313577,,,,,,,,,,,,,,,,,,,
ROC___A2B.AX,-0.23529269091305982,0.410816928915422,0.3992585649440238,0.6021237939002664,,,,,,,,,,,,,,,,,,,
ROC___A2M.AX,1.2835170345964528,1.740323674694032,1.6008928008618566,1.7180610841276218,,,,,,,,,,,,,,,,,,,
ROC___A2ZINFRA.NS,-1.1014010279288022,0.1975764859013142,-0.24018062273341045,0.08072424340234549,,,,,,,,,,,,,,,,,,,
ROC___A3D.AX,-6.126161092582169,-3.98931984529751,-2.4066756450133537,-1.4824684810973605,,,,,,,,,,,,,,,,,,,
ROC___A4N.AX,-1.8684804303499982,-5.712648649258378,-0.38384454168147436,-0.6876624735646708,,,,,,,,,,,,,,,,,,,
ROC___A4S.DE,0.3858520900321543,0.5409967131562583,0.7223536673181772,0.6469309595279992,,,,,,,,,,,,,,,,,,,
ROC___A4Y.DE,,0.15665521599456603,0.20658938607189106,0.4157908257928239,0.38872981330889933,,,,,,,,,,,,,,,,,,
ROC___A6T.DE,,-1.325138718006145,0.0754716091136685,-17.681617254349383,-0.7531760435571688,,,,,,,,,,,,,,,,,,
ROC___A7A.DE,,0.4216414311891214,0.1001713959245858,0.47848932676518885,3.7340720221606647,,,,,,,,,,,,,,,,,,
ROC___A8A.DE,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
ROC___AA,0.08167308750687947,0.16609303874764073,0.42134090678567804,0.3102406703692877,,,,,,,,,,,,,,,,,,,
ROC___AAA.L,,,-3.5710234671142103,4.773501704874199,,,,,,,,,,,,,,,,,,,
ROC___AAAP.L,,1.8713202490086849,-1.9083864848123762,5.123368954362102,-4.473190277851004,,,,,,,,,,,,,,,,,,
ROC___AAC.AX,-0.41354659296940466,-0.5181656715750627,-0.4178345313148349,-0.34520775251935143,,,,,,,,,,,,,,,,,,,
ROC___AAD.DE,,-0.6926860679342479,1.6145226163078312,1.5500622784324998,1.4420122887864824,,,,,,,,,,,,,,,,,,
ROC___AAF.L,0.9681129116570831,1.6578108395324123,-0.8720379146919431,-1.7386934673366834,,,,,,,,,,,,,,,,,,,
ROC___AAG.DE,,0.16698433610686653,0.2770077488787325,0.21635087603777414,0.4946866546101305,,,,,,,,,,,,,,,,,,
