,0
0,A
1,A1G.AX
2,A1G.DE
3,A1M.AX
4,A1OS.DE
5,A2B.AX
6,A2M.AX
7,A2ZINFRA.NS
8,A3D.AX
9,A40.AX
10,A4N.AX
11,A4S.DE
12,A4Y.DE
13,A5G.IR
14,A6T.DE
15,A7A.DE
16,A8A.DE
17,AA
18,AA4.L
19,AAA.AS
20,AAA.L
21,AAAP.L
22,AAAU
23,AABA
24,AAB.TO
25,AAC.AX
26,AACG
27,AACQU
28,AACQW
29,AAD.DE
30,AADV.L
31,AAEV.L
32,AAF.L
33,AAG.DE
34,AAGH
35,AAIC
36,AAIC-PC
37,AAIF.L
38,AAJ.AX
39,AAL
40,AA.L
41,AALB.AS
42,AAL.L
43,AAMC
44,AAME
45,AAM.L
46,AAM.SW
47,AAN
48,AANC
49,AAOG.L
50,AAOI
51,AAON
52,AAP
53,AAP.AX
54,AAPCF
55,AAPL
56,AAQ.DE
57,AAR.AX
58,AARTIDRUGS.NS
59,AARTIIND.NS
60,AARVEEDEN.NS
61,AASB.OL
62,AAS.L
63,AASP
64,AAT
65,AATG.L
66,AAU
67,AAU.L
68,AAVAS.NS
69,AAVC.L
70,AAV.TO
71,AAWW
72,AAXN
73,AAX.V
74,AAZ.L
75,AB
76,AB9.DE
77,ABA.AX
78,ABAN.NS
79,ABAX
80,ABB
81,ABB.NS
82,ABBN.SW
83,ABBOTINDIA.NS
84,ABBV
85,ABBY.L
86,ABC
87,ABCA.PA
88,ABCAPITAL.NS
89,ABC.AX
90,ABCB
91,ABCD
92,ABCE
93,ABCL
94,ABC.L
95,ABCM
96,ABCO
97,ABCP
98,ABCW
99,ABCZY
100,ABDC
101,ABD.L
102,ABDP.L
103,ABEA.DE
104,ABEO
105,ABEO.PA
106,ABEOW
107,ABEV
108,ABF.L
109,ABFRL.NS
110,ABG
111,ABI.BR
112,ABILF
113,ABIO
114,ABIO.PA
115,ABL.AX
116,ABL.DE
117,ABM
118,ABMC
119,ABMD
120,ABMINTLTD.NS
121,ABML
122,ABMT
123,ABN.AS
124,ABNB
125,ABNX.PA
126,ABO.BR
127,AB.PA
128,ABP.AX
129,ABQQ
130,ABR
131,ABR.AX
132,ABR.DE
133,ABRD.ME
134,ABRN
135,ABR-PB
136,ABR-PC
137,ABS2.DE
138,ABST
139,ABST.TO
140,ABT
141,ABTI
142,ABT.SW
143,ABT.TO
144,ABTX
145,ABUS
146,ABV.AX
147,ABVC
148,ABVN
149,ABVX.PA
150,ABX.AX
151,ABX.TO
152,AC
153,AC8.AX
154,ACA
155,ACACU
156,ACAD
157,ACAM
158,ACAMU
159,ACAMW
160,ACAN
161,ACAN.PA
162,ACA.PA
163,ACAT
164,ACB
165,ACB.AX
166,ACBI
167,ACBM
168,ACB.TO
169,ACC
170,ACCA
171,ACCB.BR
172,ACCD
173,ACCEL.AS
174,ACCELYA.NS
175,ACC.L
176,ACC.NS
177,ACCO
178,ACC.OL
179,ACD.TO
180,ACEL
181,ACE.NS
182,ACER
183,ACET
184,ACEVU
185,ACEZ
186,ACF
187,ACF.AX
188,ACFC
189,ACFN
190,ACGL
191,ACGLO
192,ACGLP
193,ACH
194,ACHC
195,ACHN
196,ACHV
197,ACI
198,ACIA
199,ACICU
200,ACID.L
201,ACIU
202,ACIW
203,ACKB.BR
204,ACKO.ME
205,ACLS
206,ACM
207,ACMC
208,ACMR
209,ACN
210,ACNB
211,ACOMO.AS
212,ACOR
213,AC.PA
214,ACP.AX
215,ACPH.BR
216,ACP.L
217,ACQ.AX
218,ACQ.TO
219,ACR.AX
220,ACRE
221,ACRGF
222,ACRL.L
223,ACRS
224,ACRX
225,ACS.AX
226,ACSO.L
227,ACST
228,ACTA
229,ACT.DE
230,ACTG
231,ACT.L
232,AC.TO
233,ACTTU
234,ACTTW
235,ACU
236,ACU.AX
237,ACUR
238,ACV
239,ACW
240,ACW.AX
241,ACWN.DE
242,ACX.DE
243,ACY
244,AD1.AX
245,AD8.AX
246,ADA.AX
247,ADADD
248,ADAG
249,ADA.L
250,ADAM.L
251,ADANIENT.NS
252,ADANIGAS.NS
253,ADANIGREEN.NS
254,ADANIPORTS.NS
255,ADANIPOWER.NS
256,ADANITRANS.NS
257,ADAP
258,AD.AS
259,ADB.DE
260,ADBE
261,ADBE.SW
262,ADC
263,ADCT
264,ADD.AX
265,ADD.DE
266,ADE.DE
267,ADEN.SW
268,ADE.OL
269,ADES
270,ADES.L
271,ADFFOODS.NS
272,ADGE
273,ADH.AX
274,ADHUNIKIND.NS
275,ADI
276,ADI.AX
277,ADIG.L
278,ADIL
279,ADILW
280,ADJ.DE
281,ADL.DE
282,ADM
283,ADMA
284,ADM.DE
285,ADME.L
286,ADM.L
287,ADMP
288,ADMS
289,ADMT
290,ADN1.DE
291,ADN.AX
292,ADNT
293,ADN.TO
294,ADO.AX
295,ADOC.PA
296,ADOM
297,ADORWELD.NS
298,ADP
299,ADP.PA
300,ADPT
301,ADR.AX
302,ADRO
303,ADROITINFO.NS
304,ADS
305,ADS.AX
306,ADS.DE
307,ADSK
308,ADSL.NS
309,ADS.OL
310,ADSW
311,ADT
312,ADT.AX
313,ADT.L
314,ADTN
315,AD.TO
316,ADTX
317,ADUS
318,ADUX.PA
319,ADV
320,ADVANIHOTR.NS
321,ADV.AX
322,ADV.DE
323,ADVENZYMES.NS
324,ADVIC.PA
325,ADVI.PA
326,ADV.L
327,ADVM
328,ADVN.SW
329,ADV.PA
330,ADW-A.TO
331,ADX
332,ADX.AX
333,ADXN
334,ADXN.SW
335,ADXS
336,ADXSW
337,ADY.AX
338,ADYEN.AS
339,ADYEY
340,AE
341,AEB.AX
342,AEC1.DE
343,AED.BR
344,AEE
345,AEE.AX
346,AEF
347,AEF.AX
348,AEFS.L
349,AEF.TO
350,AEG
351,AEG.AX
352,AEGISCHEM.NS
353,AEG.L
354,AEGN
355,AEGR
356,AEHR
357,AEI
358,AEI.AX
359,AEIN.DE
360,AEIS
361,AEL
362,AEL-PB
363,AEM
364,AEMC.L
365,AEMD
366,AEM.TO
367,AEND.DE
368,AENZ
369,AEO
370,AEO.L
371,AEP
372,AEP.DE
373,AEPI
374,AEP.L
375,AEPPA
376,AEP-PB
377,AEPPZ
378,AER
379,AER.AX
380,AERG
381,AERGP
382,AERI
383,AERO
384,AES
385,AES.DE
386,AESE
387,AESEW
388,AET
389,AEV.AX
390,AEVS.SW
391,AEWU.L
392,AEXL
393,AEX.L
394,AEY
395,AEYE
396,AEZS
397,AEZS.TO
398,AF
399,AFA
400,AFA.AX
401,AFAM
402,AFB
403,AFBI
404,AFC
405,AFC.L
406,AFEM
407,AFFLE.NS
408,AFFX
409,AFG
410,AFG.AX
411,AFGB
412,AFGE
413,AFGH
414,AFG.OL
415,AFH
416,AFHBL
417,AFHP.L
418,AFI
419,AFI.AX
420,AFIB
421,AFIN
422,AFINO
423,AFINP
424,AFK.OL
425,AFKS.ME
426,AFL
427,AFL.AX
428,AFLT.ME
429,AFMC.L
430,AFMD
431,AFM.L
432,AFN.L
433,AFN.TO
434,AFOP
435,AF.PA
436,AFP.AX
437,AFP.SW
438,AFR.AX
439,AFRK.L
440,AFRM
441,AFSD
442,AFSI
443,AFS.L
444,AFSS
445,AFT.AX
446,AFTM
447,AFTPY
448,AFW
449,AFX.DE
450,AFX.L
451,AFYA
452,AG
453,AGARIND.NS
454,AGB2.DE
455,AGBA
456,AGBAR
457,AGBAU
458,AGBAW
459,AGCNET.NS
460,AGCO
461,AGD.AX
462,AGE
463,AGE.AX
464,AGEN
465,AGFB.BR
466,AGFS
467,AGFSW
468,AGFX.L
469,AGH.AX
470,AGI
471,AGI.AX
472,AGIO
473,AGI.TO
474,AGJ.AX
475,AGJ.DE
476,AGK.L
477,AGL.AX
478,AGLE
479,AGL.L
480,AGM
481,AGMA
482,AGMH
483,AGM.L
484,AGM-PE
485,AGM-PF
486,AGN
487,AGN.AS
488,AGNC
489,AGNCB
490,AGNCP
491,AGO
492,AGOE
493,AGR
494,AGR.AX
495,AGRITECH.NS
496,AGR.L
497,AGRO
498,AGRO.L
499,AGRO.ME
500,AGROPHOS.NS
501,AGRX
502,AGS
503,AGS.AX
504,AGS.BR
505,AGTA.L
506,AGTA.PA
507,AGTC
508,AGTK
509,AGT.L
510,AGTX
511,AGX
512,AGY.AX
513,AGY.L
514,AGYS
515,AHAC
516,AHACU
517,AHC
518,AHC.DE
519,AHCO
520,AHCOW
521,AHC.TO
522,AHF.AX
523,AHGP
524,AHH
525,AHL
526,AHLA.DE
527,AHL.AX
528,AHLEAST.NS
529,AHL-PE
530,AHLUCONT.NS
531,AHLWEST.NS
532,AHNR
533,AHNRE
534,AHOG.DE
535,AHPI
536,AHQ.AX
537,AHT
538,AHT.L
539,AH.TO
540,AHT-PD
541,AHT-PI
542,AHX.AX
543,AHY.AX
544,AI
