,0
0,A
1,A1G.AX
2,A1G.DE
3,A1OS.DE
4,A2B.AX
5,A2M.AX
6,A2ZINFRA.NS
7,A3D.AX
8,A4N.AX
9,A4S.DE
10,A4Y.DE
11,A6T.DE
12,A7A.DE
13,A8A.DE
14,AA
15,AAA.L
16,AAAP.L
17,AAC.AX
18,AAD.DE
19,AAF.L
20,AAG.DE
21,AAJ.AX
22,AAL
23,AALB.AS
24,AAL.L
25,AAMC
26,AAME
27,AAM.SW
28,AAN
29,AAOG.L
30,AAOI
31,AAON
32,AAP
33,AAP.AX
34,AAPL
35,AAR.AX
36,AARTIDRUGS.NS
37,AARTIIND.NS
38,AARVEEDEN.NS
39,AASB.OL
40,AASP
41,AAT
42,AAU
43,AAU.L
44,AAVAS.NS
45,AAV.TO
46,AAWW
47,AAX.V
48,AAZ.L
49,AB9.DE
50,ABA.AX
51,ABAN.NS
52,ABB
53,ABB.NS
54,ABBN.SW
55,ABBOTINDIA.NS
56,ABBV
57,ABBY.L
58,ABC
59,ABCA.PA
60,ABCAPITAL.NS
61,ABC.AX
62,ABCB
63,ABCE
64,ABCL
65,ABC.L
66,ABCM
67,ABCP
68,ABCZY
69,ABDP.L
70,ABEA.DE
71,ABEO
72,ABEO.PA
73,ABEV
74,ABFRL.NS
75,ABG
76,ABI.BR
77,ABILF
78,ABIO
79,ABIO.PA
80,ABL.AX
81,ABL.DE
82,ABM
83,ABMC
84,ABMD
85,ABMINTLTD.NS
86,ABML
87,ABMT
88,ABN.AS
89,ABNB
90,ABNX.PA
91,ABO.BR
92,AB.PA
93,ABP.AX
94,ABQQ
95,ABR.AX
96,ABR.DE
97,ABRD.ME
98,ABS2.DE
99,ABST
100,ABST.TO
101,ABT
102,ABT.SW
103,ABTX
104,ABUS
105,ABV.AX
106,ABVX.PA
107,ABX.AX
108,ABX.TO
109,AC8.AX
110,ACA
111,ACAD
112,ACAN
113,ACAN.PA
114,ACB
115,ACB.AX
116,ACBI
117,ACB.TO
118,ACC
119,ACCA
120,ACCB.BR
121,ACCD
122,ACCEL.AS
123,ACCELYA.NS
124,ACC.L
125,ACC.NS
126,ACCO
127,ACC.OL
128,ACD.TO
129,ACEL
130,ACE.NS
131,ACER
132,ACET
133,ACF.AX
134,ACFN
135,ACGL
136,ACGLO
137,ACGLP
138,ACH
139,ACHC
140,ACHV
141,ACI
142,ACIU
143,ACIW
144,ACKB.BR
145,ACKO.ME
146,ACLS
147,ACM
148,ACMR
149,ACN
150,ACNB
151,ACOMO.AS
152,ACOR
153,AC.PA
154,ACP.AX
155,ACPH.BR
156,ACP.L
157,ACQ.TO
158,ACR.AX
159,ACRE
160,ACRL.L
161,ACRS
162,ACRX
163,ACS.AX
164,ACSO.L
165,ACST
166,ACTG
167,ACT.L
168,AC.TO
169,ACU
170,ACU.AX
171,ACUR
172,ACW.AX
173,ACWN.DE
174,ACX.DE
175,ACY
176,AD1.AX
177,AD8.AX
178,ADA.AX
179,ADAG
180,ADAM.L
181,ADANIENT.NS
182,ADANIGREEN.NS
183,ADANIPORTS.NS
184,ADANIPOWER.NS
185,ADANITRANS.NS
186,ADAP
187,AD.AS
188,ADB.DE
189,ADBE
190,ADBE.SW
191,ADC
192,ADCT
193,ADD.DE
194,ADE.DE
195,ADEN.SW
196,ADE.OL
197,ADES
198,ADES.L
199,ADFFOODS.NS
200,ADH.AX
201,ADHUNIKIND.NS
202,ADI
203,ADJ.DE
204,ADL.DE
205,ADM
206,ADMA
207,ADM.DE
208,ADM.L
209,ADMP
210,ADMS
211,ADMT
212,ADN1.DE
213,ADN.AX
214,ADNT
215,ADN.TO
216,ADO.AX
217,ADOC.PA
218,ADOM
219,ADORWELD.NS
220,ADP
221,ADP.PA
222,ADPT
223,ADR.AX
224,ADROITINFO.NS
225,ADS
226,ADS.AX
227,ADS.DE
228,ADSK
229,ADSL.NS
230,ADS.OL
231,ADT
232,ADT.AX
233,ADT.L
234,ADTN
235,ADUS
236,ADUX.PA
237,ADV
238,ADVANIHOTR.NS
239,ADV.AX
240,ADV.DE
241,ADVENZYMES.NS
242,ADVIC.PA
243,ADVI.PA
244,ADVM
245,ADVN.SW
246,ADV.PA
247,ADW-A.TO
248,ADX.AX
249,ADXN
250,ADXN.SW
251,ADXS
252,ADY.AX
253,ADYEN.AS
254,ADYEY
255,AE
256,AEC1.DE
257,AEE
258,AEE.AX
259,AEF.AX
260,AEGISCHEM.NS
261,AEG.L
262,AEGN
263,AEHR
264,AEI
265,AEI.AX
266,AEIN.DE
267,AEIS
268,AEL
269,AEM
270,AEMD
271,AEM.TO
272,AENZ
273,AEO
274,AEO.L
275,AEP
276,AEP.L
277,AER
278,AER.AX
279,AERG
280,AERI
281,AES
282,AESE
283,AEV.AX
284,AEVS.SW
285,AEWU.L
286,AEX.L
287,AEY
288,AEYE
289,AEZS
290,AEZS.TO
291,AFA.AX
292,AFC.L
293,AFFLE.NS
294,AFG
295,AFG.AX
296,AFG.OL
297,AFHBL
298,AFHP.L
299,AFI
300,AFIB
301,AFIN
302,AFINO
303,AFINP
304,AFK.OL
305,AFKS.ME
306,AFL
307,AFL.AX
308,AFLT.ME
309,AFMD
310,AFM.L
311,AFN.L
312,AFN.TO
313,AF.PA
314,AFP.AX
315,AFP.SW
316,AFR.AX
317,AFRK.L
318,AFRM
319,AFS.L
320,AFTM
321,AFTPY
322,AFX.DE
323,AFX.L
324,AFYA
325,AG
326,AGARIND.NS
327,AGCNET.NS
328,AGCO
329,AGD.AX
330,AGE
331,AGE.AX
332,AGEN
333,AGFS
334,AGFX.L
335,AGH.AX
336,AGI
337,AGI.AX
338,AGIO
339,AGI.TO
340,AGJ.AX
341,AGJ.DE
342,AGK.L
343,AGL.AX
344,AGLE
345,AGMH
346,AGM.L
347,AGO
348,AGR
349,AGR.AX
350,AGR.L
351,AGRO
352,AGRO.ME
353,AGROPHOS.NS
354,AGRX
355,AGS
356,AGS.AX
357,AGS.BR
358,AGTA.L
359,AGTC
360,AGTK
361,AGX
362,AGY.AX
363,AGY.L
364,AGYS
365,AHC
366,AHC.DE
367,AHCO
368,AHC.TO
369,AHF.AX
370,AHH
371,AHLA.DE
372,AHLEAST.NS
373,AHL-PE
374,AHLUCONT.NS
375,AHLWEST.NS
376,AHNR
377,AHPI
378,AHT
379,AHT.L
380,AH.TO
381,AHT-PD
382,AHT-PI
383,AHX.AX
384,AHY.AX
385,AI
386,AIA.AX
387,AIAENG.NS
388,AIEA.L
389,AIF.TO
390,AIG
391,AIG.SW
392,AIH
393,AIHS
394,AIKI
395,AIL.DE
396,AIM
397,AIMC
398,AIM.TO
399,AIN
400,AINC
401,AINN.DE
402,AI.PA
403,AIR
404,AIRAN.NS
405,AIR.AX
406,AIR.DE
407,AIRE.L
408,AIRE.SW
409,AIRG
410,AIRI
411,AIR.L
412,AIR.PA
413,AIRT
414,AIS.AX
415,AIT
416,AITX
417,AIV
418,AIV.AX
419,AIXA.DE
420,AIY.DE
421,AIZ
422,AIZ.AX
423,AIZP
424,AJ91.DE
425,AJANTPHARM.NS
426,AJAX.AS
427,AJB.L
428,AJG
429,AJJ.AX
430,AJL.AX
431,AJM.AX
432,AJMERA.NS
433,AJQ.AX
434,AJRD
435,AJX
436,AJX.AX
437,AJX.TO
438,AJY.AX
439,AK3.DE
440,AKAM
441,AKA.PA
442,AKASH.NS
443,AKBA
444,AKBM.OL
445,AKE.PA
446,AKER
447,AKER.OL
448,AKG.AX
449,AKM.AX
450,AKO-B
451,AKP.AX
452,AKR
453,AKRN.ME
454,AKSHARCHEM.NS
455,AKSHOPTFBR.NS
456,AKSO.OL
457,AKTS
458,AKTX
459,AKU
460,AKUS
461,AKU.TO
462,AKVA.OL
463,AKW.PA
464,AKZA.AS
465,AKZOINDIA.NS
466,AL3.AX
467,AL8.AX
468,ALACT.PA
469,ALADA.PA
470,ALADM.PA
471,ALADO.PA
472,ALAGP.PA
473,ALAGR.PA
474,ALALO.PA
475,ALAMG.PA
476,ALANKIT.NS
477,ALANT.PA
478,ALANV.PA
479,ALARF.PA
480,ALATF.PA
481,ALA.TO
482,ALAVY.PA
483,ALB
484,ALBA.L
485,ALBDM.PA
486,ALBERTDAVD.NS
487,ALBFR.PA
488,ALBI.PA
489,ALBKK.PA
490,ALBK.ME
491,ALBLD.PA
492,ALBLU.PA
493,ALBO
494,ALBOU.PA
495,ALBPS.PA
496,ALC
497,ALCAR.PA
498,ALC.AX
499,ALCES.PA
500,ALCG.PA
501,ALCHEM.NS
502,ALCHI.PA
503,ALCJ.PA
504,ALCLA.PA
505,ALCLS.PA
506,ALCO
507,ALCOF.PA
508,ALCOI.PA
509,ALCOR.PA
510,ALCRB.PA
511,ALC.SW
512,ALC.TO
513,ALCUR.PA
514,ALCYB.PA
515,ALDAR.PA
516,ALD.AX
517,ALDBL.PA
